Title,Production,Episodes,Source,Genre,Airdate,Rating,Voters,Theme
Bem,LandQ studios,12,Original,"Action,Supernatural","Jul 15, 2019, 01:35 (JST)",6.04,"59,484",Demons
Shakugan no Shana Movie,J.C.Staff,1,Light novel,"Action,Fantasy,Supernatural",,7.38,"59,006",Funimation
Break Blade 2: Ketsubetsu no Michi,Production I.G,1,Manga,"Action,Fantasy",,7.73,"59,003","Mecha,Military"
Mobile Suit Gundam: The Origin,Sunrise,6,Manga,"Action,Sci-Fi",,8.34,"58,977","Mecha,Military,Space"
Rekka no Honoo,Studio Pierrot,42,Manga,"Action,Adventure","Jul 19, 1997, 18:30 (JST)",7.35,"58,777","Martial Arts,Super Power"
Bakuten Shoot Beyblade 2002,Nippon Animation,51,Manga,"Action,Adventure,Comedy,Sci-Fi,Sports","Jan 7, 2002, 18:00 (JST)",6.68,"58,743",Shounen
Nanatsu no Taizai: Imashime no Fukkatsu Joshou,A-1 Pictures,1,Manga,"Action,Comedy,Fantasy",,7.25,"58,735",Super Power
Persona 3 the Movie 4: Winter of Rebirth,A-1 Pictures,1,Game,"Action,Fantasy,Supernatural",,8.01,"58,727",-
Sword Gai The Animation,DLE,12,Manga,"Action,Supernatural",,5.78,"58,642",Seinen
Asura Cryin' 2,Seven Arcs,13,Light novel,"Action,Supernatural","Oct 1, 2009, 08:00 (JST)",7.28,"58,429",Mecha
Sumomomo Momomo: Chijou Saikyou no Yome,Studio Hibari,22,Manga,"Action,Comedy,Romance","Oct 6, 2006",6.88,"58,364",Martial Arts
Subarashiki Kono Sekai The Animation,domerica,12,Game,"Action,Adventure","Apr 10, 2021, 02:25 (JST)",6.15,"58,255",Funimation
One Piece: Heart of Gold,Toei Animation,1,Manga,"Action,Adventure,Comedy,Drama,Fantasy",,7.51,"58,200",Shounen
Shoumetsu Toshi,Madhouse,12,Game,"Action,Adventure,Drama,Fantasy,Mystery","Apr 7, 2019, 23:30 (JST)",5.45,"58,122",Funimation
Yasuke,MAPPA,6,Other,"Action,Fantasy",,5.80,"58,092",Samurai
Overlord Movie 2: Shikkoku no Eiyuu,Madhouse,1,Light novel,"Action,Fantasy,Supernatural",,7.64,"58,045",Game
Ikkitousen: Great Guardians,Arms,12,Manga,"Action,Ecchi","Jun 11, 2008, 09:30 (JST)",6.76,"58,011","Martial Arts,School,Super Power"
Lupin III (2015),Telecom Animation Film,24,Manga,"Action,Adventure,Comedy,Mystery","Oct 2, 2015, 01:29 (JST)",7.92,"57,836",Seinen
Tatakau Shisho: The Book of Bantorra,David Production,27,Light novel,"Action,Fantasy","Oct 2, 2009",7.22,"57,786",Super Power
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Toei Animation,1,Manga,"Action,Adventure,Comedy,Drama,Fantasy",,8.13,"57,694",Super Power
Tsubasa: Shunraiki,Production I.G,2,-,"Action,Adventure,Drama,Fantasy,Mystery,Romance,Supernatural",,8.11,"57,606",Shounen
Dogs: Bullets & Carnage,David Production,4,Manga,Action,,7.33,"57,552",Seinen
Hakkenden: Touhou Hakken Ibun 2nd Season,Studio Deen,13,Manga,"Action,Fantasy,Supernatural","Jul 7, 2013",7.64,"57,466",Demons
Tensei shitara Slime Datta Ken Movie,-,1,Manga,"Action,Adventure,Comedy,Fantasy",,N/A,"57,394",Demons
Majutsushi Orphen Hagure Tabi,Studio Deen,13,Light novel,"Action,Adventure,Drama,Fantasy","Jan 7, 2020, 23:00 (JST)",5.81,"57,358",Martial Arts
Dragon Ball Movie 1: Shen Long no Densetsu,Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy",,6.80,"57,283",Super Power
Rozen Maiden: Ouvertüre,Nomad,2,Manga,"Action,Comedy,Drama",,7.72,"57,188",Seinen
Tales of Zestiria the Cross: Saiyaku no Jidai,ufotable,1,Game,"Action,Adventure,Fantasy",,7.25,"57,155",Funimation
Afro Samurai Movie,Gonzo,1,Original,"Action,Adventure",,7.54,"57,139",Samurai
Hitori no Shita: The Outcast 2nd Season,Haoliners Animation League,24,Web manga,"Action,Supernatural",,7.40,"57,100",Super Power
Kingdom 3rd Season,Pierrot Plus,26,Manga,Action,"Apr 6, 2020, 00:10 (JST)",8.77,"57,073","Historical,Military"
Lodoss-tou Senki,Madhouse,13,Novel,"Action,Adventure,Fantasy,Supernatural",,7.38,"56,635",Shounen
Naruto: Shippuuden - Sunny Side Battle,Studio Pierrot,1,Original,"Action,Comedy,Gourmet",,7.52,"56,524","Martial Arts,Super Power"
Fate/Extra: Last Encore - Illustrias Tendousetsu,Shaft,3,Game,"Action,Fantasy","Jul 29, 2018",6.52,"56,481",Aniplex of America
JoJo no Kimyou na Bouken: Phantom Blood,APPP,1,Manga,"Action,Adventure,Horror",,7.70,"56,148",Vampire
Terra e... (TV),Minami Machi Bugyousho,24,Manga,"Action,Drama,Sci-Fi","Apr 7, 2007, 18:00 (JST)",7.91,"56,112","Military,Space"
Break Blade 3: Kyoujin no Ato,Production I.G,1,Manga,"Action,Fantasy",,7.80,"56,095","Mecha,Military"
Gunslinger Girl: Il Teatrino,Artland,13,Manga,"Action,Drama,Sci-Fi","Jan 7, 2008",7.15,"56,078",Military
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,Signal.MD,1,Game,"Action,Fantasy,Supernatural",,6.84,"55,954",-
Pokemon (2019),OLM,?,Game,"Action,Adventure,Comedy,Fantasy","Nov 17, 2019, 18:55 (JST)",7.18,"55,789",Kids
Grappler Baki: Saidai Tournament-hen,Group TAC,24,Manga,"Action,Sports","Jul 24, 2001",7.46,"55,704",Martial Arts
Kämpfer für die Liebe,Nomad,2,Light novel,"Action,Comedy,Girls Love,Ecchi",,6.47,"55,600",Super Power
Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,Sunrise,1,Original,"Action,Sci-Fi",,7.31,"55,412","Mecha,Space"
One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,Toei Animation,1,Manga,"Action,Adventure,Fantasy",,7.34,"55,404",Shounen
Revisions,Shirogumi,12,Original,"Action,Sci-Fi","Jan 10, 2019, 00:55 (JST)",6.07,"55,368",Mecha
Pokemon Best Wishes! Season 2,OLM,24,Game,"Action,Adventure,Comedy,Fantasy","Jun 21, 2012, 19:00 (JST)",6.40,"55,299",Kids
Monochrome Factor,A.C.G.T.,24,Manga,"Action,Boys Love,Supernatural","Apr 8, 2008",6.96,"55,177",Maiden Japan
Break Blade 4: Sanka no Chi,Production I.G,1,Manga,"Action,Fantasy",,7.85,"54,986","Mecha,Military"
Amatsuki,Studio Deen,13,Manga,"Action,Fantasy,Supernatural","Apr 5, 2008, 02:30 (JST)",6.90,"54,585","Demons,Historical"
Shangri-La,Gonzo,24,Novel,"Action,Drama,Sci-Fi","Apr 6, 2009",7.06,"54,384",Funimation
Mirai Nikki (TV): Ura Mirai Nikki,asread.,10,Manga,"Action,Comedy,Supernatural",,6.50,"54,340",Funimation
Quanzhi Fashi II,Shanghai Foch Film and TV Culture Investment,12,Novel,"Action,Fantasy",,6.74,"54,209",School
Shin Tennis no Ouji-sama,M.S.C,13,Manga,"Action,Comedy,Sports","Jan 5, 2012",7.55,"54,115",Shounen
Godzilla 1: Kaijuu Wakusei,Polygon Pictures,1,Original,"Action,Adventure,Sci-Fi",,6.47,"54,064",-
Owari no Seraph: The Beginning of the End,Wit Studio,1,Manga,"Action,Drama,Supernatural",,7.21,"53,945",Vampire
Wizard Barristers: Benmashi Cecil,Arms,12,Original,"Action,Fantasy","Jan 13, 2014, 01:30 (JST)",6.18,"53,907","Mecha,Police"
King's Raid: Ishi wo Tsugumono-tachi,OLM,26,Game,"Action,Adventure,Fantasy","Oct 3, 2020, 01:23 (JST)",5.99,"53,869",Funimation
"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy",,7.49,"53,646",Super Power
Lupin the Third: Mine Fujiko to Iu Onna,TMS Entertainment,13,Manga,"Action,Adventure,Comedy,Ecchi","Apr 5, 2012, 01:29 (JST)",7.77,"53,606",Samurai
M3: Sono Kuroki Hagane,Satelight,24,Original,"Action,Drama,Mystery,Sci-Fi","Apr 22, 2014, 01:35 (JST)",6.59,"53,565","Mecha,Psychological"
Dragon Quest: Dai no Daibouken (2020),Toei Animation,?,Manga,"Action,Adventure,Fantasy","Oct 3, 2020, 09:30 (JST)",7.12,"53,545",Shounen
Murder Princess,Bee Train,6,Manga,"Action,Adventure,Fantasy",,7.00,"53,413",Funimation
Vinland Saga Season 2,-,?,Manga,"Action,Adventure,Drama","??? ??, ????",N/A,"53,386",Historical
Dragon Ball Movie 2: Majinjou no Nemurihime,Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy,Sci-Fi",,6.76,"53,295",Super Power
Senyuu. 2,LIDENFILMS,13,Web manga,"Action,Comedy,Fantasy","Jul 3, 2013",7.45,"53,224",Parody
IS: Infinite Stratos 2 - Hitonatsu no Omoide,8bit,1,Light novel,"Action,Comedy,Sci-Fi",,6.89,"53,195","Harem,Mecha"
Peace Maker Kurogane,Gonzo,24,Manga,"Action,Comedy","Oct 8, 2003",7.32,"53,087","Historical,Samurai"
Mobile Suit Gundam Wing: Endless Waltz Special,Sunrise,1,Original,"Action,Drama,Sci-Fi",,7.80,"52,887","Mecha,Military,Space"
Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,CloverWorks,1,Game,"Action,Fantasy,Supernatural",,7.18,"52,825",-
Yu☆Gi☆Oh! Arc-V,Gallop,148,Manga,"Action,Fantasy","Apr 6, 2014, 17:30 (JST)",6.71,"52,818",Game
Break Blade 5: Shisen no Hate,Production I.G,1,Manga,"Action,Fantasy",,7.83,"52,808","Mecha,Military"
Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,J.C.Staff,1,Light novel,"Action,Comedy,Mystery,Romance",,6.79,"52,707",Funimation
Senki Zesshou Symphogear G,Satelight,13,Original,"Action,Sci-Fi","Jul 5, 2013, 02:35 (JST)",7.45,"52,653",Music
Brave Witches,SILVER LINK.,12,Original,"Action,Sci-Fi,Ecchi","Oct 6, 2016, 01:35 (JST)",6.79,"52,583",Military
Kingsglaive: Final Fantasy XV,-,1,Game,Action,,7.44,"52,477",-
Hakuouki Reimeiroku,Studio Deen,12,Visual novel,"Action,Drama,Supernatural","Jul 10, 2012",7.45,"52,420","Historical,Samurai"
Maken-Ki! OVA,AIC Spirits,2,Manga,"Action,Ecchi",,6.61,"52,290","Harem,Martial Arts,School,Super Power"
Planet With,J.C.Staff,12,Original,"Action,Sci-Fi","Jul 8, 2018, 22:30 (JST)",7.19,"52,122",Mecha
Angolmois: Genkou Kassenki,NAZ,12,Manga,"Action,Drama","Jul 11, 2018, 12:30 (JST)",7.14,"52,058","Historical,Military,Samurai"
Godzilla: S.P,Bones,13,Original,"Action,Mystery,Sci-Fi","Apr 1, 2021, 22:30 (JST)",6.70,"51,910",Mecha
Star Wars: Visions,Geno Studio,9,Other,"Action,Adventure,Sci-Fi",,7.29,"51,758","Military,Space"
Overlord: Ple Ple Pleiades - Nazarick Saidai no Kiki,Studio PuYUKAI,1,Light novel,"Action,Comedy,Fantasy",,6.92,"51,740",-
Break Blade 6: Doukoku no Toride,Production I.G,1,Manga,"Action,Fantasy",,7.70,"51,725","Mecha,Military"
Dragon Ball Movie 4: Saikyou e no Michi,Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy,Sci-Fi",,7.13,"51,588",Super Power
Grenadier: Hohoemi no Senshi,Group TAC,12,Manga,"Action,Adventure,Comedy,Ecchi","Oct 14, 2004",6.70,"51,356",Shounen
Ginga Kikoutai Majestic Prince,Doga Kobo,24,Manga,"Action,Sci-Fi","Apr 4, 2013, 22:30 (JST)",7.34,"51,274","Mecha,School,Space"
Shounen Onmyouji,Studio Deen,26,Light novel,"Action,Fantasy,Supernatural","Oct 3, 2006, 02:30 (JST)",7.56,"51,251","Demons,Historical"
Shijou Saikyou no Deshi Kenichi OVA,Brain's Base,11,Manga,"Action,Comedy",,7.91,"50,970","Martial Arts,School"
Galilei Donna,A-1 Pictures,11,Original,"Action,Adventure,Sci-Fi","Oct 11, 2013, 00:50 (JST)",6.43,"50,924","Crunchyroll,Discotek Media"
Digimon Adventure tri. 4: Soushitsu,Toei Animation,1,Original,"Action,Adventure,Comedy,Drama",,7.30,"50,902",Shout! Factory
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Wit Studio,1,Manga,"Action,Drama,Fantasy",,7.78,"50,795",Super Power
Detective Conan Movie 13: The Raven Chaser,Tokyo Movie Shinsha,1,Manga,"Action,Mystery",,8.22,"50,495",Police
Musaigen no Phantom World: Mizutama no Kiseki,Kyoto Animation,1,Light novel,"Action,Comedy,Fantasy,Supernatural",,6.80,"50,235",Funimation
Ao no 6-gou,Gonzo,4,Manga,"Action,Adventure,Sci-Fi",,7.03,"50,015","Mecha,Military"
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Toei Animation,1,Manga,"Action,Adventure,Comedy,Drama,Fantasy",,8.20,"49,720",Super Power
Saredo Tsumibito wa Ryuu to Odoru,Seven Arcs Pictures,12,Light novel,"Action,Drama,Fantasy,Sci-Fi","Apr 6, 2018, 01:58 (JST)",5.80,"49,509",Funimation
World Trigger 3rd Season,Toei Animation,12,Manga,"Action,Sci-Fi,Supernatural","Oct 10, 2021, 01:30 (JST)",8.17,"49,495",School
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Sunrise,1,Manga,"Action,Comedy,Sci-Fi",,8.09,"49,479","Historical,Mecha,Parody,Samurai"
Vandread: The Second Stage,Gonzo,13,Original,"Action,Sci-Fi,Ecchi","Oct 5, 2001",7.41,"49,476","Mecha,Space"
Under the Dog,Kinema Citrus,1,Original,"Action,Sci-Fi,Suspense",,6.28,"49,401",-
Mahou Shoujo Lyrical Nanoha StrikerS,Seven Arcs,26,Original,"Action,Comedy,Drama","Apr 2, 2007",7.63,"49,191",Super Power
Tales of Symphonia The Animation: Sylvarant-hen,ufotable,4,Game,"Action,Adventure,Fantasy",,7.16,"49,030",Martial Arts
Gensoumaden Saiyuuki,Studio Pierrot,50,Manga,"Action,Adventure,Comedy,Drama,Supernatural","Apr 4, 2000, 18:30 (JST)",7.57,"49,007",Demons
Persona 5 the Animation: The Day Breakers,A-1 Pictures,1,Game,"Action,Fantasy,Supernatural",,7.10,"48,767",Aniplex of America
Digimon Adventure:,Toei Animation,67,Other,"Action,Adventure,Comedy,Fantasy","Apr 5, 2020, 09:00 (JST)",6.41,"48,537",Kids
Dragon Ball Movie 3: Makafushigi Daibouken,Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy,Sci-Fi",,6.85,"48,536",Super Power
Queen's Blade: Gyokuza wo Tsugu Mono,Arms,12,Other,"Action,Adventure,Fantasy,Ecchi","Sep 24, 2009",6.55,"48,515",Media Blasters
Captain Herlock,Marza Animation Planet,1,Manga,"Action,Drama,Sci-Fi",,7.35,"48,513",Space
Captain Tsubasa: Road to 2002,Group TAC,52,Manga,"Action,Sports","Oct 7, 2001",7.41,"48,230",Shounen
Durarara!!x2 Ketsu: Dufufufu!!,Shuka,1,Light novel,"Action,Mystery,Supernatural",,7.57,"48,051",Aniplex of America
One Piece 3D: Mugiwara Chase,Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy",,7.02,"48,037",Shounen
One Punch Man 2nd Season Commemorative Special,J.C.Staff,1,Web manga,"Action,Comedy,Sci-Fi,Supernatural",,6.88,"47,865","Parody,Super Power"
Arifureta Shokugyou de Sekai Saikyou Specials,asread.,2,Light novel,"Action,Adventure,Fantasy",,6.66,"47,765",Harem
Detective Conan Movie 14: The Lost Ship in the Sky,Tokyo Movie Shinsha,1,Manga,"Action,Mystery",,8.13,"47,698",Police
Cardfight!! Vanguard,TMS Entertainment,65,Original,"Action,Adventure","Jan 8, 2011, 08:00 (JST)",7.02,"47,647","Demons,Game"
Sekai de Ichiban Tsuyoku Naritai!,Arms,12,Manga,"Action,Sports,Ecchi","Oct 6, 2013",5.79,"47,517",Funimation
Tetsuwan Birdy Decode:02,A-1 Pictures,12,Manga,"Action,Comedy,Sci-Fi","Jan 10, 2009, 02:10 (JST)",7.73,"47,332",Funimation
Kidou Senkan Nadesico,Xebec,26,Original,"Action,Comedy,Romance,Sci-Fi","Oct 1, 1996, 18:30 (JST)",7.51,"46,959","Mecha,Military,Parody,Space"
Durarara!!x2 Ten: Onoroke Chakapoko,Shuka,1,Light novel,"Action,Mystery,Supernatural",,7.54,"46,930",Aniplex of America
Noblesse: Pamyeol-ui Sijak,Studio Animal,1,Web manga,"Action,Adventure,Supernatural",,7.27,"46,843",-
Hypnosis Mic: Division Rap Battle - Rhyme Anima,A-1 Pictures,13,Other,"Action,Sci-Fi","Oct 3, 2020, 00:00 (JST)",6.78,"46,823",Music
Ninja Batman,Kamikaze Douga,1,Other,Action,,6.09,"46,580","Martial Arts,Samurai"
MÄR,SynergySP,102,Manga,"Action,Adventure,Comedy,Fantasy","Apr 3, 2005, 10:00 (JST)",7.27,"46,357",Shounen
Aoi Sekai no Chuushin de,Fifth Avenue,3,Manga,"Action,Adventure,Fantasy,Ecchi",,5.73,"46,170",Parody
Pokemon Generations,OLM,18,Game,"Action,Adventure,Fantasy",,7.46,"46,144",Game
Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,Studio Pierrot,1,Original,"Action,Comedy",,6.97,"46,057","Martial Arts,Super Power"
Naruto x UT,Studio Pierrot,1,Manga,"Action,Comedy",,7.40,"46,020","Martial Arts,Super Power"
Neppuu Kairiku Bushi Road,Kinema Citrus,1,Original,"Action,Fantasy,Sci-Fi",,7.19,"45,970",Mecha
Tales of Vesperia: The First Strike,Production I.G,1,Game,"Action,Adventure,Fantasy",,7.59,"45,956",Military
Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy",,6.86,"45,808",-
Muhyo to Rouji no Mahouritsu Soudan Jimusho,Studio Deen,12,Manga,"Action,Comedy,Drama,Mystery,Supernatural","Aug 3, 2018, 21:30 (JST)",6.71,"45,689",Shounen
Seikai no Monshou,Sunrise,13,Light novel,"Action,Romance,Sci-Fi","Jan 3, 1999",7.67,"45,550","Military,Space"
Tenchi Muyou! Ryououki,AIC,6,Original,"Action,Comedy,Sci-Fi",,7.64,"45,473",Space
Naruto: The Cross Roads,Studio Pierrot,1,Original,"Action,Adventure,Comedy",,6.80,"45,462",Shounen
Tenshi Kinryouku,Hal Film Maker,3,Manga,"Action,Drama,Romance,Supernatural",,6.30,"45,424",Shoujo
Ragnarök The Animation,G&G Entertainment,26,Game,"Action,Fantasy","Apr 7, 2004, 01:30 (JST)",6.46,"45,209",Funimation
Phi Brain: Kami no Puzzle - Orpheus Order-hen,Sunrise,25,Original,"Action,Mystery","Apr 8, 2012",7.28,"45,155",Game
Fate/Grand Order: Moonlight/Lostroom,Lay-duce,1,Game,"Action,Fantasy,Supernatural",,6.29,"45,117",-
Cike Wu Liuqi,-,10,Original,"Action,Comedy,Drama,Mystery,Romance",,7.93,"44,921","Martial Arts,Super Power"
Mobile Suit Gundam Thunderbolt,Sunrise,4,Manga,"Action,Drama,Sci-Fi",,7.94,"44,693","Mecha,Military,Space"
Zero no Tsukaima: Princesses no Rondo Picture Drama,J.C.Staff,7,Light novel,"Action,Adventure,Comedy,Drama,Fantasy,Romance,Ecchi",,6.94,"44,659","Harem,School"
Hortensia Saga (TV),LIDENFILMS,12,Game,"Action,Adventure,Fantasy","Jan 7, 2021, 00:30 (JST)",5.78,"44,603",Funimation
Zoids,Xebec,67,-,"Action,Adventure,Comedy,Sci-Fi","Sep 4, 1999, 18:00 (JST)",7.37,"44,501",Mecha
Ikkitousen: Xtreme Xecutor,Arms,12,Manga,"Action,Ecchi","Mar 26, 2010",6.76,"44,456","Martial Arts,School,Super Power"
Pokemon Movie 20: Kimi ni Kimeta!,OLM,1,Game,"Action,Adventure,Comedy",,7.08,"44,332",Kids
Gintama: The Semi-Final,Bandai Namco Pictures,2,Manga,"Action,Comedy",,8.49,"44,270","Historical,Parody,Samurai"
"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",Shuka,1,Original,"Action,Drama",,6.89,"44,224",Historical
RideBack,Madhouse,12,Manga,"Action,Drama,Sci-Fi","Jan 12, 2009, 00:00 (JST)",7.28,"44,191","Mecha,School"
ēlDLIVE,Studio Pierrot,12,Manga,"Action,Sci-Fi","Jan 8, 2017, 22:00 (JST)",6.13,"44,137","Police,Space"
Hanma Baki: Son of Ogre,TMS Entertainment,12,Manga,Action,,7.57,"44,126",Martial Arts
Koihime†Musou,Doga Kobo,12,Visual novel,"Action,Adventure,Fantasy,Ecchi","Jul 9, 2008, 02:00 (JST)",6.74,"44,063","Historical,Martial Arts"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,J.C.Staff,1,Light novel,"Action,Adventure,Comedy,Fantasy",,6.78,"43,774",Sentai Filmworks
Digimon Adventure tri. 5: Kyousei,Toei Animation,1,Original,"Action,Adventure,Comedy,Drama",,7.17,"43,762",-
Saint Seiya: Meiou Hades Meikai-hen,Toei Animation,12,Manga,"Action,Adventure,Fantasy,Sci-Fi",,7.75,"43,735","Demons,Super Power"
Mobile Suit Gundam Wing: Endless Waltz,Sunrise,3,Original,"Action,Drama,Sci-Fi",,7.75,"43,723","Mecha,Military,Space"
Saint Seiya Omega,Toei Animation,97,Manga,"Action,Adventure,Fantasy","Apr 1, 2012, 06:30 (JST)",6.26,"43,677",Shounen
One Piece: Romance Dawn Story,Toei Animation,1,Manga,"Action,Comedy,Fantasy",,7.37,"43,648",Super Power
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,Sunrise,1,Original,Action,,7.79,"43,461","Mecha,Military,Super Power"
Imawa no Kuni no Alice (OVA),Connect,3,Manga,"Action,Supernatural,Suspense",,7.38,"43,438",Psychological
Bayonetta: Bloody Fate,Gonzo,1,Game,"Action,Fantasy",,6.62,"43,384","Demons,Super Power"
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,Studio Deen,1,Manga,"Action,Adventure,Fantasy,Supernatural",,7.14,"43,118",Shounen
Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Production I.G,1,-,"Action,Adventure,Drama,Fantasy",,7.32,"43,046",Shounen
Soukyuu no Fafner: Dead Aggressor,Xebec,25,Original,"Action,Drama,Sci-Fi","Jul 5, 2004",7.28,"42,985","Mecha,Military"
Kyousou Giga,Toei Animation,1,Original,"Action,Fantasy,Supernatural",,6.93,"42,865",-
Bakuten Shoot Beyblade G Revolution,Madhouse,52,Manga,"Action,Adventure,Comedy,Sci-Fi,Sports","Jan 6, 2003, 18:00 (JST)",6.93,"42,853",Shounen
Mo Dao Zu Shi: Wanjie Pian,B.CMAY PICTURES,12,Novel,"Action,Drama,Supernatural",,8.74,"42,840","Demons,Historical"
Ni no Kuni,OLM,1,Game,"Action,Adventure,Fantasy",,6.40,"42,760",Netflix
Digimon Xros Wars,Toei Animation,30,Original,"Action,Adventure,Comedy,Fantasy","Jul 6, 2010, 19:27 (JST)",6.69,"42,724",Shounen
Koukaku Kidoutai: Shin Movie,Production I.G,1,Manga,"Action,Sci-Fi",,7.46,"42,486","Mecha,Police,Psychological"
One Piece: Episode of Luffy - Hand Island no Bouken,Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy",,7.62,"42,440",Super Power
Genjitsu Shugi Yuusha no Oukoku Saikenki 2nd Season,J.C.Staff,?,Light novel,"Action,Fantasy,Romance","Jan ??, 2022",N/A,"42,238",Funimation
Sengoku Otome: Momoiro Paradox,TMS Entertainment,13,Game,"Action,Comedy,Sci-Fi","Apr 5, 2011",6.58,"42,117","Historical,Samurai,Super Power"
Kiddy Grade,Gonzo,24,Original,"Action,Sci-Fi,Ecchi","Oct 9, 2002",7.20,"42,048","Mecha,Super Power"
Zettai Karen Children,SynergySP,51,Manga,"Action,Comedy,Supernatural","Apr 6, 2008",7.32,"42,024",Shounen
Kara no Kyoukai Remix: Gate of Seventh Heaven,ufotable,1,Light novel,"Action,Mystery,Romance,Suspense",,7.58,"42,012",Super Power
Sword Art Online: Alicization - War of Underworld Reflection,A-1 Pictures,1,Light novel,"Action,Adventure,Fantasy,Romance",,6.79,"41,960",Game
Freezing Specials,A.C.G.T.,6,-,"Action,Comedy,Ecchi",,6.58,"41,953",Funimation
Tokkou,AIC Spirits,13,Manga,"Action,Comedy,Horror,Mystery,Supernatural","Apr 16, 2006",6.56,"41,829",Police
Seven Knights Revolution: Eiyuu no Keishousha,domerica,12,Game,"Action,Adventure,Fantasy","Apr 5, 2021, 00:00 (JST)",6.35,"41,772",-
Senkou no Night Raid,A-1 Pictures,13,Original,Action,"Apr 6, 2010, 01:30 (JST)",6.86,"41,704","Historical,Military,Super Power"
Shirogane no Ishi: Argevollen,Xebec,24,Original,Action,"Jul 3, 2014",6.50,"41,682",Mecha
Goblin Slayer: Bouken Kiroku Youshi - Adventure Sheet,White Fox,1,Light novel,"Action,Adventure,Fantasy",,6.19,"41,636",-
Koukaku no Pandora,AXsiZ,12,Manga,"Action,Comedy,Sci-Fi,Ecchi","Jan 8, 2016, 23:00 (JST)",6.52,"41,634",Funimation
Ajin OVA,Polygon Pictures,2,Manga,"Action,Horror,Mystery,Supernatural",,7.21,"41,614",Seinen
Initial D Extra Stage,Pastel,2,Manga,"Action,Drama,Sports",,7.31,"41,522",Cars
Last Exile: Ginyoku no Fam,Gonzo,21,Original,"Action,Adventure,Sci-Fi","Oct 15, 2011, 02:00 (JST)",7.08,"41,439",Funimation
Tennis no Ouji-sama: Zenkoku Taikai-hen,M.S.C,13,Manga,"Action,Comedy,Sports",,7.92,"41,417",Shounen
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,Anima&Co.,12,Original,"Action,Fantasy","Oct 6, 2019, 21:00 (JST)",6.04,"41,411","Police,Vampire"
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",Connect,1,Manga,Action,,6.81,"41,102",School
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,Toei Animation,1,Manga,"Action,Comedy,Fantasy,Sci-Fi",,7.52,"41,070",Super Power
Senki Zesshou Symphogear GX,Satelight,13,Original,"Action,Sci-Fi","Jul 4, 2015, 03:10 (JST)",7.43,"41,040",Music
Princess Connect! Re:Dive Season 2,CygamesPictures,?,Game,"Action,Adventure,Comedy,Fantasy","Jan ??, 2022",N/A,"41,031",-
Ajin Part 1: Shoudou,Polygon Pictures,1,Manga,"Action,Horror,Mystery,Supernatural",,7.48,"41,013",Seinen
Pokemon Movie 15: Kyurem vs. Seikenshi,OLM,1,Game,"Action,Adventure,Comedy,Drama,Fantasy",,6.44,"40,981",Kids
Cowboy Bebop: Yose Atsume Blues,Sunrise,1,Original,"Action,Adventure,Comedy,Drama,Sci-Fi",,7.43,"40,951",Space
Makai Senki Disgaea,OLM,12,Game,"Action,Comedy,Fantasy","Apr 5, 2006",6.74,"40,776",Demons
Phantom in the Twilight,LIDENFILMS,12,Original,"Action,Supernatural","Jul 10, 2018, 00:30 (JST)",6.41,"40,622",Vampire
Fairy Gone 2nd Season,P.A. Works,12,Original,"Action,Fantasy,Supernatural","Oct 7, 2019, 00:00 (JST)",6.37,"40,566",Demons
Kurogane no Linebarrels,Gonzo,24,Manga,"Action,Sci-Fi","Oct 3, 2008",6.93,"40,194",Mecha
